Name,Created,Tags,URL,Updated
Chapter 1: Ethics and the Law,"Jan 17, 2020 12:42 PM",,https://www.google.com/search?client=avast&q=definition+of+law,"Feb 19, 2020 12:46 PM"
Chapter 8 : Evidence Analysis 2,"Jan 21, 2020 8:29 AM",,,"Feb 3, 2020 10:51 AM"
Chapter 3: Introduction to Singapore Legal System,"Jan 22, 2020 9:48 AM",,,"Feb 20, 2020 1:28 PM"
Chapter 2: Regulating the Media Industry,"Jan 24, 2020 10:06 PM",,,"Feb 19, 2020 12:56 PM"
Chapter 4: Criminal Law and Policy I,"Jan 27, 2020 6:01 PM",,,"Feb 9, 2020 3:33 PM"
Chapter 5: Criminal Law & Policy II,"Jan 29, 2020 12:16 AM",,,"Feb 10, 2020 5:40 PM"
Chapter 6: Computer Crime,"Jan 31, 2020 10:30 PM",,,"Feb 11, 2020 5:35 PM"
Chapter 7: Evidence Analysis I,"Feb 2, 2020 4:04 PM",,,"Feb 23, 2020 11:04 AM"
Chapter 9 & 10: Corporate Investigation & Law of Confidence,"Feb 5, 2020 11:25 PM",,,"Feb 18, 2020 7:28 PM"
Chapter 11: SPAM,"Feb 17, 2020 8:54 AM",,,"Feb 24, 2020 4:27 PM"
